"","line","paper_id","study_id","focal","type","df1","df2","d","g","n.approx","statistic","p.value","p.value.one","p.reported","p.crit","significant","one.tailed","reporting.error","error.direction","parse.error","d.reported","d.reported.str","d.reported.lower","d.reported.upper","d.reported.error","d.reported.error.direction","global.reporting.error","p.value.log","d.var","d.se","studydesign","Z","obs.pow","median.obs.pow","ppr","ppl","pp33"
"17",17,".17","",TRUE,"f",1,101,0.433544882392289,0.430380321206944,103,4.84,0.0300863104415412,0.0150431552207706,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.50368501328798,0.0406598171363936,0.201642795895102,1,2.16895223479203,0.582771294481587,0.582771294481587,0.601726208830824,0.398273791169176,0.221084518497099
"18",18,".18","",TRUE,"f",1,101,0.409119347839599,0.406133075227631,103,4.31,0.0404286253060717,0.0202143126530358,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.20821719773608,0.0404599868036573,0.201146679822604,1,2.04934260505402,0.53560949309077,0.53560949309077,0.808572506121434,0.191427493878566,0.0976569262926101
"19",19,".19","",TRUE,"f",1,195,0.46480168796709,0.463029889918931,197,10.64,0.00130640632273191,0.000653203161365954,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-6.64047517650657,0.0214012213661779,0.146291562867371,1,3.21456873778193,0.895188861450501,0.895188861450501,0.0261281264546387,0.973871873545361,0.8671599879472
"20",20,".20","",TRUE,"f",1,58,0.724798822662767,0.715700929491268,60,7.88,0.00679646396319998,0.00339823198159999,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.99135280746155,0.0754222222222222,0.274631065653946,1,2.70665601217701,0.772375258398578,0.772375258398578,0.135929279264,0.864070720736,0.657123186618878
"21",21,".21","",TRUE,"f",1,164,0.296972677336379,0.295628909565627,166,3.66,0.0574760040131121,0.028738002006556,"",0.05,FALSE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-2.85638773979278,0.0246276672956888,0.156932046745363,1,1.89967331752034,0.475962067532297,0.475962067532297,NA,NA,NA
"22",22,".22","",TRUE,"f",1,106,0.481509970667121,0.478158393145076,108,6.26,0.0138776711900495,0.00693883559502474,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.27747411967712,0.0391838134430727,0.197949017282412,1,2.46041429863165,0.691620983399602,0.691620983399602,0.277553423800989,0.722446576199011,0.48075567089181
"23",23,".23","",TRUE,"f",1,148,0.570847323429537,0.56798832180969,150,12.22,0.000624218847119088,0.000312109423559544,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-7.37900953454452,0.0288391111111111,0.169820820605458,1,3.42086685229699,0.927978950242731,0.927978950242731,0.012484376942381,0.987515623057619,0.917176335624655
"24",24,".24","",TRUE,"f",1,144,0.342032602787897,0.340272572241818,146,4.27,0.0405824480926305,0.0202912240463153,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.20441961883805,0.0281985363107525,0.167924198109601,1,2.04777094977314,0.534984949152145,0.534984949152145,0.811648961852611,0.188351038147389,0.0955611797867638
"25",25,".25","",TRUE,"f",1,57,0.557232872842469,0.550119261699799,59,4.58,0.0366399054451497,0.0183199527225749,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.30661731982501,0.0730594656707843,0.27029514548135,1,2.08975397783224,0.551633709929254,0.551633709929254,0.732798108902994,0.267201891097006,0.141913104513516
"26",26,".26","",TRUE,"f",1,74,0.5419263884757,0.53656078066901,76,5.58,0.0207981732110946,0.0103990866055473,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.87289012252151,0.0564958448753463,0.237688545948992,1,2.31162834511492,0.637455004258161,0.637455004258161,0.415963464221893,0.584036535778107,0.357805981814757
